HP:0000001	C0444868	All
HP:0000002	C4025901	Abnormality of body height
HP:0000003	C3714581	Multicystic kidney dysplasia
HP:0000005	C1708511	Mode of inheritance
HP:0000006	C0443147	Autosomal dominant inheritance
HP:0000007	C0441748	Autosomal recessive inheritance
HP:0000007	C4020899	Autosomal recessive inheritance
HP:0000008	C4025900	Abnormality of female internal genitalia
HP:0000009	C3806583	Functional abnormality of the bladder
HP:0000010	C0262655	Recurrent urinary tract infections
HP:0000011	C0005697	Neurogenic bladder
HP:0000012	C0085606	Urinary urgency
HP:0000012	C3544092	Urinary urgency
HP:0000012	C4020898	Urinary urgency
HP:0000013	C0266399	Hypoplasia of the uterus
HP:0000014	C0149632	Abnormality of the bladder
HP:0000015	C0156273	Bladder diverticulum
HP:0000016	C0080274	Urinary retention
HP:0000017	C0028734	Nocturia
HP:0000019	C0152032	Urinary hesitancy
HP:0000020	C0042024	Urinary incontinence
HP:0000021	C1855311	Megacystis
HP:0000022	C4025899	Abnormality of male internal genitalia
HP:0000023	C0019294	Inguinal hernia
HP:0000024	C0033581	Prostatitis
HP:0000025	C4025898	Functional abnormality of male internal genitalia
HP:0000026	C0151721	Male hypogonadism
HP:0000027	C0004509	Azoospermia
HP:0000028	C0010417	Cryptorchidism
HP:0000029	C0156312	Testicular atrophy
HP:0000030	C1515283	Testicular gonadoblastoma
HP:0000031	C0014534	Epididymitis
HP:0000032	C4025897	Abnormality of male external genitalia
HP:0000033	C4021823	Ambiguous genitalia, male
HP:0000034	C1720771	Hydrocele testis
HP:0000035	C0266423	Abnormality of the testis
HP:0000036	C4025896	Abnormality of the penis
HP:0000037	C0238395	Male pseudohermaphroditism
HP:0000039	C0563449	Epispadias
HP:0000040	C0269011	Long penis
HP:0000041	C0221182	Chordee
HP:0000042	C1848869	Absent external genitalia
HP:0000044	C0271623	Hypogonadotrophic hypogonadism
HP:0000044	C3489396	Hypogonadotrophic hypogonadism
HP:0000045	C4025895	Abnormality of the scrotum
HP:0000046	C0431659	Scrotal hypoplasia
HP:0000047	C1691215	Hypospadias
HP:0000048	C0341787	Bifid scrotum
HP:0000049	C1858539	Shawl scrotum
HP:0000050	C1852534	Hypoplastic male external genitalia
HP:0000051	C0452148	Perineal hypospadias
HP:0000052	C4025894	Urethral atresia, male
HP:0000053	C1263023	Macroorchidism
HP:0000054	C0266435	Micropenis
HP:0000055	C4021822	Abnormality of female external genitalia
HP:0000056	C4025893	Abnormality of the clitoris
HP:0000058	C4025892	Abnormality of the labia
HP:0000059	C0566899	Hypoplastic labia majora
HP:0000060	C1844527	Clitoral hypoplasia
HP:0000061	C1859980	Ambiguous genitalia, female
HP:0000061	C4025891	Ambiguous genitalia, female
HP:0000062	C0266362	Ambiguous genitalia
HP:0000063	C1837532	Fused labia minora
HP:0000064	C1849295	Hypoplastic labia minora
HP:0000065	C0404531	Labial hypertrophy
HP:0000066	C1850325	Labial hypoplasia
HP:0000067	C4025890	Urethral atresia, female
HP:0000068	C1610065	Urethral atresia
HP:0000069	C1840382	Abnormality of the ureter
HP:0000070	C0041960	Ureterocele
HP:0000071	C0521618	Ureteral stenosis
HP:0000072	C0521620	Hydroureter
HP:0000072	C4020897	Hydroureter
HP:0000073	C0221365	Ureteral duplication
HP:0000074	C0521619	Ureteropelvic junction obstruction
HP:0000075	C0266298	Renal duplication
HP:0000076	C0042580	Vesicoureteral reflux
HP:0000077	C0022658	Abnormality of the kidney
HP:0000077	C0266292	Abnormality of the kidney
HP:0000078	C0281966	Abnormality of the genital system
HP:0000078	C0744356	Abnormality of the genital system
HP:0000079	C4021821	Abnormality of the urinary system
HP:0000080	C4020896	Abnormality of reproductive system physiology
HP:0000080	C4021820	Abnormality of reproductive system physiology
HP:0000081	C1858565	Duplicated collecting system
HP:0000083	C0035078	Renal insufficiency
HP:0000083	C1565489	Renal insufficiency
HP:0000083	C1839604	Renal insufficiency
HP:0000085	C0221353	Horseshoe kidney
HP:0000086	C0238207	Ectopic kidney
HP:0000089	C0266295	Renal hypoplasia
HP:0000090	C0687120	Nephronophthisis
HP:0000091	C4021826	Abnormality of the renal tubule
HP:0000092	C1858395	Tubular atrophy
HP:0000093	C0033687	Proteinuria
HP:0000095	C4025889	Abnormality of renal glomerulus morphology
HP:0000096	C0178664	Glomerulosclerosis
HP:0000097	C0017668	Focal segmental glomerulosclerosis
HP:0000098	C0241240	Tall stature
HP:0000099	C0017658	Glomerulonephritis
HP:0000100	C0027726	Nephrotic syndrome
HP:0000103	C0032617	Polyuria
HP:0000104	C0542519	Renal agenesis
HP:0000105	C0542518	Enlarged kidney
HP:0000107	C0022679	Renal cyst
HP:0000107	C3887499	Renal cyst
HP:0000108	C1968619	Renal corticomedullary cysts
HP:0000110	C1619700	Renal dysplasia
HP:0000110	C3536714	Renal dysplasia
HP:0000111	C1866496	Renal juxtaglomerular cell hypertrophy/hyperplasia
HP:0000112	C0022658	Nephropathy
HP:0000112	C1408258	Nephropathy
HP:0000113	C0022680	Polycystic kidney dysplasia
HP:0000113	C1567435	Polycystic kidney dysplasia
HP:0000114	C1839603	Proximal tubulopathy
HP:0000117	C1845169	Renal phosphate wasting
HP:0000118	C4021819	Phenotypic abnormality
HP:0000119	C0042063	Abnormality of the genitourinary system
HP:0000119	C0080276	Abnormality of the genitourinary system
HP:0000119	C4020895	Abnormality of the genitourinary system
HP:0000121	C0027709	Nephrocalcinosis
HP:0000121	C4280679	Nephrocalcinosis
HP:0000122	C0266294	Unilateral renal agenesis
HP:0000123	C0027697	Nephritis
HP:0000124	C0151747	Renal tubular dysfunction
HP:0000125	C0221209	Pelvic kidney
HP:0000126	C0020295	Hydronephrosis
HP:0000127	C1846347	Renal salt wasting
HP:0000128	C1846348	Renal potassium wasting
HP:0000130	C0266383	Abnormality of the uterus
HP:0000131	C0042133	Uterine leiomyoma
HP:0000132	C0025323	Menorrhagia
HP:0000133	C0018051	Gonadal dysgenesis
HP:0000133	C0018055	Gonadal dysgenesis
HP:0000133	C0687149	Gonadal dysgenesis
HP:0000134	C0271578	Female hypogonadism
HP:0000135	C0020619	Hypogonadism
HP:0000136	C1850327	Bifid uterus
HP:0000137	C0029928	Abnormality of the ovary
HP:0000137	C4021818	Abnormality of the ovary
HP:0000138	C0029927	Ovarian cyst
HP:0000139	C0042140	Uterine prolapse
HP:0000140	C3549779	Abnormality of the menstrual cycle
HP:0000140	C4025888	Abnormality of the menstrual cycle
HP:0000141	C2219717	Amenorrhea
HP:0000142	C1856023	Abnormal vagina morphology
HP:0000143	C0034895	Rectovaginal fistula
HP:0000144	C0520927	Decreased fertility
HP:0000145	C1856006	Transverse vaginal septum
